Course Number,Course Name,Prerequisites,Term,Instructor
105,Computer Literacy,N/A,Spring,Verts
119,Introduction to Programming,N/A,Spring,Verts
121,Introduction to Problem Solving with Computers,N/A,Spring,Anderson
145,Representing Storing and Retrieving Information,N/A,Spring,Verts
187,Programming with Data Structures,121,Spring,Liberatore
187,Programming with Data Structures,121,Spring,Ridgway
197B,Advanced Assignments for CMPSCI 121,121,Spring,Anderson
197C,Programming in C,121 187,Spring,Scarrci
197U,A Hands on Introduction to Unix,N/A,Spring,DeVaughn-Brown
197WP,Introduction to HTML/CSS,121,Spring,Scarrci
220,Programming Methodology,187,Spring,Richards
230,Computer System Principles,187,Spring,Richards
230,Computer System Principles,187,Spring,Moss
240,Reasoning Under Uncertainty,187 MATH 132,Spring,McGregor
250,Introduction to Computation,187  MATH 132,Spring,Barrington
305,Social Issues in Computing,ENGLWRIT 112,Spring,Trim
311,Introduction to Algorithms,250,Spring,Sitaraman
320,Introduction to Software Engineering,220,Spring,Brun
320,Introduction to Software Engineering,220,Spring,Anderson
326,Web Programming,187,Spring,Richards
348,Introduction to Knowledge Discovery,187 240 250,Spring,Jensen
365,Digital Forensics,220 230 ,Spring,Levine
377,Operating Systems,230,Spring,Ganesan
383,Artificial intelligence,220 (230) 240,Spring,Siegelmann
390CG,Introduction to Computer Graphics,187 190DM (240),Spring,Wang
397G,Creative Game Design and Development,N/A,Spring,STAFF
397J,Introductory JavaScript Game Development,326,Spring,Tincknell
445,Information Systems,220 (230) 311,Spring,Diao
446,Search Engines,240 (383),Spring,Allan
453,Computer Networks,230 (377),Spring,STAFF
491G,Computer Networking Lab,453,Spring,Venkataramani
501,Formal Languate Theory,311,Spring,Barrington
520,Software Engineering Synthesis and Development,230,Spring,Bendraou
529,Software Engineering Project Management,320,Spring,Brun
529,Software Engineering Project Management,320,Spring,Anderson
589,Machine Learning,383,Spring,Marlin
597CR,Crypto Engineering,N/A,Spring,Paar
601,Computation Theory,501,Spring,Immerman
603,Robotics,N/A,Spring,Grupen
620,Advanced Software Engineering Synthesis and Development,N/A,Spring,Bendraou
645,Database Design and Implementation,N/A,Spring,Meliou
660,Advanced Information Assurance,460 (466),Spring,Houmansadr
677,Operating Systems,N/A,Spring,Shenoy
688,Probabilistic Graphical Models,N/A,Spring,Sheldon
689,Machine Learning,N/A,Spring,Maji
690AA,Approximation Algorithms and Combinational Optimization,N/A,Spring,Saha
691DA,Big Data Algorithms and Applications,N/A,Spring,Saha
691DD,Research Methods in Empirical Compuer Science,N/A,Spring,Berger
701,Advanced Topics in Computer Science,N/A,Spring,STAFF
891M,Theory of Computation,N/A,Spring,Immerman
899,PhD Dissertation,N/A,Spring,STAFF
H320,Honors Colloquium for CMPSCI 320,N/A,Spring,Brun
H589,Honors Colloquium for CMPSCI 589,N/A,Spring,Marlin
