general track,CS311     ,CS377     ,CS383     ,,,
Software Engineering (SOFTENGIN),CS311     ,CS320     ,CS520     ,CS521     ,,
Artificial Intelligence (ARTIFINTEL),CS311     ,CS320     ,CS383     ,,,
Search & Data Mining (SRCHDATMIN)!,CS311     ,CS320     ,CS348     ,CS445     ,CS446     ,CS585     
"Robotics, Vision & Graphics (ROBVISGRPH)",CS311     ,CS320     ,CS370     ,CS403/CS50,CS473(orCS,
Theory ofComputation (THEORYCOMP),CS311     ,CS320     ,CS501     ,,,
Computer Architecture (COMPARCH),CS311     ,CS320     ,CS535     ,CS635     ,,
Security & Privacy (SECURITY),CS311     ,CS377     ,CS460     ,,,
Networking (NETWORKING),CS311     ,CS377     ,CS453     ,CS491G    ,,
Software Systems (SOFTSYSTMS),CS311     ,CS320     ,CS377     ,CS445     ,,
Compilers (PROGLANCMP),CS311     ,CS377     ,CS410     ,CS530     ,,
